period,uganda_district,observed_movements,share,lat,lon,source
2026-05-15_2026-05-24,Bundibugyo,1301,0.3519,0.711,30.064,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Unknown / other admin 1,961,0.2600,1.300,31.000,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kampala,632,0.1709,0.3476,32.5825,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kisoro,157,0.0425,-1.286,29.684,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Nebbi,133,0.0360,2.479,31.089,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Arua,128,0.0346,3.020,30.910,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Manafwa,95,0.0257,0.978,34.374,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kitagwenda,34,0.0092,0.090,30.350,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kasese,32,0.0087,0.183,30.083,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Mbarara,30,0.0081,-0.607,30.654,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kyotera,25,0.0068,-0.617,31.517,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Ntoroko,25,0.0068,1.050,30.480,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Bunyangabu,23,0.0062,0.480,30.190,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Hoima,22,0.0060,1.431,31.352,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Zombo,16,0.0043,2.513,30.909,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Wakiso,14,0.0038,0.404,32.459,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Namisindwa,10,0.0027,0.860,34.380,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Alebtong,9,0.0024,2.244,33.254,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kabarole,6,0.0016,0.671,30.275,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Tororo,5,0.0014,0.692,34.181,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Masaka,5,0.0014,-0.333,31.733,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kabale,5,0.0014,-1.248,29.989,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kyankwanzi,5,0.0014,1.200,31.800,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kamwenge,4,0.0011,0.216,30.420,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Iganga,3,0.0008,0.609,33.468,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Busia,2,0.0005,0.465,34.092,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Ntungamo,2,0.0005,-0.879,30.265,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kiboga,2,0.0005,0.916,31.774,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Jinja,1,0.0003,0.424,33.204,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kagadi,1,0.0003,0.938,30.813,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Rubirizi,1,0.0003,-0.267,30.105,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Isingiro,1,0.0003,-0.843,30.806,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Kaliro,1,0.0003,0.895,33.498,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Gulu,1,0.0003,2.774,32.299,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Mpigi,1,0.0003,0.225,32.313,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Rukiga,1,0.0003,-1.132,29.977,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Bushenyi,1,0.0003,-0.541,30.185,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
